Species,EPU,sex,YEAR,MeanCond,nCond,n
Atl Cod,SS,M,2018,100.01919019569685,25,27
Atl Herring,SS,F,1992,93.59304851168609,11,27
Atl Herring,SS,F,1993,109.3319885600494,22,27
Atl Herring,SS,F,1994,109.15338379130083,24,27
Atl Herring,SS,F,1995,100.20092720244334,22,27
Atl Herring,SS,F,1996,102.05544577515428,35,27
Atl Herring,SS,F,1997,111.79468479225089,15,27
Atl Herring,SS,F,1998,114.3582623723782,102,27
Atl Herring,SS,F,1999,109.31323456221513,33,27
Atl Herring,SS,F,2000,106.38445596190226,49,27
Atl Herring,SS,F,2001,111.67691769088106,39,27
Atl Herring,SS,F,2002,101.82076930912535,60,27
Atl Herring,SS,F,2003,109.31475478665847,59,27
Atl Herring,SS,F,2004,102.03161528173085,77,27
Atl Herring,SS,F,2005,105.26337974951544,102,27
Atl Herring,SS,F,2006,106.1371084380655,40,27
Atl Herring,SS,F,2007,111.33541632629138,103,27
Atl Herring,SS,F,2008,111.31242981330756,106,27
Atl Herring,SS,F,2009,105.66689478704711,70,27
Atl Herring,SS,F,2010,102.40459254096722,130,27
Atl Herring,SS,F,2011,101.17196329455352,32,27
Atl Herring,SS,F,2012,101.61931902279146,103,27
Atl Herring,SS,F,2013,99.16281613047546,72,27
Atl Herring,SS,F,2014,101.41566813259955,88,27
Atl Herring,SS,F,2015,100.4189433907075,91,27
Atl Herring,SS,F,2016,100.99100441154012,74,27
Atl Herring,SS,F,2017,97.97622522196839,31,27
Atl Herring,SS,F,2018,104.75630461814016,13,27
Atl Herring,SS,M,1992,93.05049014751766,10,27
Atl Herring,SS,M,1993,107.04939114510842,27,27
Atl Herring,SS,M,1994,104.44969551975286,23,27
Atl Herring,SS,M,1995,106.2620380037859,32,27
Atl Herring,SS,M,1996,99.68753687568235,37,27
Atl Herring,SS,M,1997,107.56657884063267,21,27
Atl Herring,SS,M,1998,106.13975245260661,94,27
Atl Herring,SS,M,1999,103.3526500142724,21,27
Atl Herring,SS,M,2000,106.83882680327027,42,27
Atl Herring,SS,M,2001,108.83430529337507,27,27
Atl Herring,SS,M,2002,104.69178857986428,67,27
Atl Herring,SS,M,2003,106.1741154449018,88,27
Atl Herring,SS,M,2004,102.80874376238285,100,27
Atl Herring,SS,M,2005,101.41487469676831,91,27
Atl Herring,SS,M,2006,108.35198658936234,40,27
Atl Herring,SS,M,2007,110.97370105323029,106,27
Atl Herring,SS,M,2008,111.9129391361822,84,27
Atl Herring,SS,M,2009,103.84416946657197,85,27
Atl Herring,SS,M,2010,102.8804551322572,114,27
Atl Herring,SS,M,2011,100.37644455188133,53,27
Atl Herring,SS,M,2012,102.95648631537755,95,27
Atl Herring,SS,M,2013,102.63655448599211,74,27
Atl Herring,SS,M,2014,102.69738926588684,53,27
Atl Herring,SS,M,2015,98.43345849746781,95,27
Atl Herring,SS,M,2016,97.74458142087391,75,27
Atl Herring,SS,M,2017,94.20624329602985,32,27
Atl Herring,SS,M,2018,96.74796677359633,3,27
Butterfish,SS,F,1993,117.25534218634716,7,21
Butterfish,SS,F,1994,99.75971796635805,19,21
Butterfish,SS,F,1995,108.7095469539652,12,21
Butterfish,SS,F,1996,114.01499456392919,3,21
Butterfish,SS,F,1998,108.00536123355057,10,21
Butterfish,SS,F,1999,111.4866508880899,4,21
Butterfish,SS,F,2000,112.68583223836256,8,21
Butterfish,SS,F,2001,86.26968046907314,7,21
Butterfish,SS,F,2002,93.09280365873757,15,21
Butterfish,SS,F,2003,80.40148267610539,10,21
Butterfish,SS,F,2006,98.79610719730121,9,21
Butterfish,SS,F,2007,107.93097418259883,4,21
Butterfish,SS,F,2008,109.82013165129794,7,21
Butterfish,SS,F,2009,87.66069569067916,20,21
Butterfish,SS,F,2010,101.37589423626413,20,21
Butterfish,SS,F,2011,99.87521814460457,10,21
Butterfish,SS,F,2012,119.71649999776876,14,21
Butterfish,SS,F,2013,111.07435875654652,5,21
Butterfish,SS,F,2014,113.18837944448039,24,21
Butterfish,SS,F,2015,98.64872965984581,5,21
Butterfish,SS,F,2016,111.91127698123299,8,21
Butterfish,SS,M,1992,106.46141579248113,7,21
Butterfish,SS,M,1993,110.41933673179669,16,21
Butterfish,SS,M,1994,101.03743231485961,6,21
Butterfish,SS,M,1995,110.64696348345052,6,21
Butterfish,SS,M,1998,102.10663332039873,6,21
Butterfish,SS,M,1999,100.64437834827486,6,21
Butterfish,SS,M,2000,108.79005570544146,9,21
Butterfish,SS,M,2001,82.94119355885034,7,21
