StockName,Stock,SVSPP,Survey,Strata
"Mackerel, Atlantic",Unit,121,NMFS spring BTS,"01010, 01020, 01030, 01040, 01050, 01060, 01070, 01080, 01090, 01100, 01110, 01120, 01130, 01140, 01150, 01160, 01170, 01180, 01190, 01200, 01210, 01220, 01230, 01240, 01250, 01260, 01270, 01280, 01290, 01300, 01340, 01351, 01360, 01370, 01380, 01390, 01400, 01610, 01620, 01630, 01640, 01650, 01660, 01670, 01680, 01690, 01700, 01710, 01720, 01730, 01740, 01750, 01760"
"Perch, Ocean(Redfish)",Unit,155,NMFS spring BTS,"01240, 01260, 01270, 01280, 01290, 01300, 01360, 01370, 01380, 01390, 01400"
"Pollock, Atlantic",Unit,75,NMFS spring BTS,"01130, 01140, 01150, 01160, 01170, 01180, 01190, 01200, 01210, 01220, 01230, 01240, 01250, 01260, 01270, 01280, 01290, 01300, 01360, 01370, 01380, 01390, 01400"
"Pout, Ocean",Unit,193,NMFS spring BTS,"01010, 01020, 01030, 01040, 01050, 01060, 01070, 01080, 01090, 01100, 01110, 01120, 01130, 01140, 01150, 01160, 01170, 01180, 01190, 01200, 01210, 01220, 01230, 01240, 01250, 01260, 01730, 01740, 01750, 01760"
Scup,Unit,642,NMFS spring BTS,"01010, 01020, 01030, 01040, 01050, 01060, 01070, 01080, 01090, 01100, 01110, 01120, 01230, 01250, 01610, 01620, 01630, 01640, 01650, 01660, 01670, 01680, 01690, 01700, 01710, 01720, 01730, 01740, 01750, 01760"
"Sea Bass, Black",Unit,141,NMFS winter BTS,"01010, 01020, 01030, 01040, 01050, 01060, 01070, 01100, 01110, 01140, 01220, 01610, 01620, 01630, 01640, 01650, 01660, 01670, 01680, 01690, 01700, 01710, 01720, 01730, 01740, 01750, 01760, 03020, 03030, 03040, 03050, 03060, 03070, 03080, 03090, 03100, 03110, 03120, 03130, 03140, 03150, 03160, 03170, 03180, 03190, 03200, 03210, 03220, 03230, 03240, 03250, 03260, 03270, 03280, 03290, 03300, 03310, 03320, 03330, 03340, 03350, 03360, 03370, 03380, 03390, 03400, 03410, 03420, 03430, 03440, 03450, 03460"
"Skate, Barndoor",Unit,22,NMFS fall BTS,"01010, 01020, 01030, 01040, 01050, 01060, 01070, 01080, 01090, 01100, 01110, 01120, 01130, 01140, 01150, 01160, 01170, 01180, 01190, 01200, 01210, 01220, 01230, 01240, 01250, 01260, 01270, 01280, 01290, 01300, 01340, 01350, 01351, 01360, 01370, 01380, 01390, 01400"
"Skate, Clearnose",Unit,24,NMFS fall BTS,"01610, 01620, 01630, 01640, 01650, 01660, 01670, 01680, 01690, 01700, 01710, 01720, 01730, 01740, 01750, 01760, 03170, 03200, 03230, 03260, 03290, 03320, 03350, 03380, 03410, 03440"
"Skate, Little",Unit,26,NMFS spring BTS,"01010, 01020, 01030, 01040, 01050, 01060, 01070, 01080, 01090, 01100, 01110, 01120, 01130, 01140, 01150, 01160, 01170, 01180, 01190, 01200, 01210, 01220, 01230, 01240, 01250, 01260, 01270, 01280, 01290, 01300, 01340, 01350, 01351, 01360, 01370, 01380, 01390, 01400, 01610, 01620, 01630, 01640, 01650, 01660, 01670, 01680, 01690, 01700, 01710, 01720, 01730, 01740, 01750, 01760, 03020, 03050, 03080, 03110, 03140, 03170, 03200, 03230, 03260, 03290, 03320, 03350, 03380, 03410, 03440, 03560, 03590, 03600, 03610, 03640, 03650, 03660"
"Skate, Rosette",Unit,25,NMFS fall BTS,"01610, 01620, 01630, 01640, 01650, 01660, 01670, 01680, 01690, 01700, 01710, 01720, 01730, 01740, 01750, 01760"
"Skate, Smooth",Unit,27,NMFS fall BTS,"01010, 01020, 01030, 01040, 01050, 01060, 01070, 01080, 01090, 01100, 01110, 01120, 01130, 01140, 01150, 01160, 01170, 01180, 01190, 01200, 01210, 01220, 01230, 01240, 01250, 01260, 01270, 01280, 01290, 01300, 01340, 01350, 01351, 01360, 01370, 01380, 01390, 01400"
"Skate, Thorny",Unit,28,NMFS fall BTS,"01010, 01020, 01030, 01040, 01050, 01060, 01070, 01080, 01090, 01100, 01110, 01120, 01130, 01140, 01150, 01160, 01170, 01180, 01190, 01200, 01210, 01220, 01230, 01240, 01250, 01260, 01270, 01280, 01290, 01300, 01340, 01350, 01351, 01360, 01370, 01380, 01390, 01400"
"Skate, Winter",Unit,23,NMFS fall BTS,"01010, 01020, 01030, 01040, 01050, 01060, 01070, 01080, 01090, 01100, 01110, 01120, 01130, 01140, 01150, 01160, 01170, 01180, 01190, 01200, 01210, 01220, 01230, 01240, 01250, 01260, 01270, 01280, 01290, 01300, 01340, 01350, 01351, 01360, 01370, 01380, 01390, 01400, 01610, 01620, 01630, 01640, 01650, 01660, 01670, 01680, 01690, 01700, 01710, 01720, 01730, 01740, 01750, 01760"
Tilefish (Golden Tilefish),Unit,151,NMFS spring BTS,"01010, 01020, 01030, 01040, 01050, 01060, 01070, 01080, 01090, 01100, 01110, 01120, 01130, 01140, 01150, 01160, 01170, 01180, 01190, 01210, 01220, 01290, 01300, 01360, 01610, 01620, 01630, 01640, 01650, 01660, 01670, 01680, 01690, 01700, 01710, 01720, 01730, 01740, 01750, 01760"
"Wolffish, Atlantic",Unit,192,NMFS spring BTS,"01090, 01100, 01110, 01120, 01130, 01140, 01150, 01190, 01200, 01230, 01240, 01250, 01260, 01270, 01280, 01370, 01380, 01390, 01400"
